Device,Test Name,Test Status,Message(s),Test description,Test category
borderleaf2,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
borderleaf2,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
borderleaf2,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
borderleaf2,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on vEOS-lab,Verifies there are no interface storm-control drop counters.,Interfaces
borderleaf2,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
borderleaf2,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
borderleaf2,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
borderleaf2,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
borderleaf2,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
borderleaf2,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
borderleaf2,VerifyCoredump,success,,Verifies there are no core dump files.,System
borderleaf2,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
